Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/routingpolicies.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/aspathsets,GET,com.nokia.eda.routingpolicies.v1alpha1.ASPathSetList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/communitysets,GET,com.nokia.eda.routingpolicies.v1alpha1.CommunitySetList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets,DELETE,com.nokia.eda.routingpolicies.v1alpha1.ASPathSetList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets,GET,com.nokia.eda.routingpolicies.v1alpha1.ASPathSetList,as_path_set_list,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets,POST,com.nokia.eda.routingpolicies.v1alpha1.ASPathSet,as_path_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/_deleted,GET,com.nokia.eda.routingpolicies.v1alpha1.ASPathSet_DeletedResources,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name},DELETE,Status,as_path_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name},GET,com.nokia.eda.routingpolicies.v1alpha1.ASPathSet,as_path_set,true,true,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name},PATCH,com.nokia.eda.routingpolicies.v1alpha1.ASPathSet,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name},PUT,com.nokia.eda.routingpolicies.v1alpha1.ASPathSet,as_path_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/aspathsets/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets,DELETE,com.nokia.eda.routingpolicies.v1alpha1.CommunitySetList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets,GET,com.nokia.eda.routingpolicies.v1alpha1.CommunitySetList,community_set_list,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets,POST,com.nokia.eda.routingpolicies.v1alpha1.CommunitySet,community_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/_deleted,GET,com.nokia.eda.routingpolicies.v1alpha1.CommunitySet_DeletedResources,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name},DELETE,Status,community_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name},GET,com.nokia.eda.routingpolicies.v1alpha1.CommunitySet,community_set,true,true,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name},PATCH,com.nokia.eda.routingpolicies.v1alpha1.CommunitySet,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name},PUT,com.nokia.eda.routingpolicies.v1alpha1.CommunitySet,community_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/communitysets/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys,DELETE,com.nokia.eda.routingpolicies.v1alpha1.PolicyList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys,GET,com.nokia.eda.routingpolicies.v1alpha1.PolicyList,policy_list,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys,POST,com.nokia.eda.routingpolicies.v1alpha1.Policy,policy,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/_deleted,GET,com.nokia.eda.routingpolicies.v1alpha1.Policy_DeletedResources,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name},DELETE,Status,policy,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name},GET,com.nokia.eda.routingpolicies.v1alpha1.Policy,policy,true,true,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name},PATCH,com.nokia.eda.routingpolicies.v1alpha1.Policy,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name},PUT,com.nokia.eda.routingpolicies.v1alpha1.Policy,policy,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/policys/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets,DELETE,com.nokia.eda.routingpolicies.v1alpha1.PrefixSetList,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets,GET,com.nokia.eda.routingpolicies.v1alpha1.PrefixSetList,prefix_set_list,true,true,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets,POST,com.nokia.eda.routingpolicies.v1alpha1.PrefixSet,prefix_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets/_deleted,GET,com.nokia.eda.routingpolicies.v1alpha1.PrefixSet_DeletedResources,,false,false,false
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets/{name},DELETE,Status,prefix_set,true,false,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets/{name},GET,com.nokia.eda.routingpolicies.v1alpha1.PrefixSet,prefix_set,true,true,true
/apps/routingpolicies.eda.nokia.com/v1alpha1/namespaces/{namespace}/prefixsets/{name},PATCH,com.nokia.eda.routingpolicies.v1alpha1.PrefixSet,,false,false,false
